,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
34,Programming and Algorithms,05/10/2023,11:00 AM,05/10/2023,12:00 PM,FALSE,Tutorial COMP/1005/01/T/01/07,University of Nottingham JC Comp Sci C60,TRUE
35,Mathematics for Computer Scientists 1,05/10/2023,12:00 PM,05/10/2023,01:00 PM,FALSE,Tutorial COMP/1001/01/T/01/04,University of Nottingham JC Xu Yafen B18,TRUE
36,,05/10/2023,01:00 PM,05/10/2023,03:00 PM,FALSE,"Computing COMP/1005/01/C/02/01, COMP/1006/01/C/02/01, COMP/1007/01/C/02/01_JT",University of Nottingham JC Comp Sci A32,TRUE
37,,05/10/2023,03:00 PM,05/10/2023,05:00 PM,FALSE,"Computing COMP/1005/01/C/03/01, COMP/1006/01/C/03/01, COMP/1007/01/C/03/01_JT",University of Nottingham JC Comp Sci A32,TRUE
38,Computer Science First Year Tutorial,06/10/2023,10:00 AM,06/10/2023,11:00 AM,FALSE,Tutorial COMP/1002/01/T/01/01,University of Nottingham ,TRUE
39,Mathematics for Computer Scientists 1,06/10/2023,11:00 AM,06/10/2023,12:00 PM,FALSE,Lecture COMP/1001/01/L/02/01,University of Nottingham JC BS South B52,TRUE
40,Systems and Architecture,06/10/2023,02:00 PM,06/10/2023,03:00 PM,FALSE,Online Lecture Engagement COMP/1006/01/OLE/02/01,University of Nottingham ,TRUE
41,Computer Fundamentals,06/10/2023,03:00 PM,06/10/2023,04:00 PM,FALSE,Online Lecture Engagement COMP/1007/01/OLE/02/01,University of Nottingham ,TRUE
42,Programming and Algorithms,09/10/2023,10:00 AM,09/10/2023,12:00 PM,FALSE,Online Lecture Engagement COMP/1005/01/OLE/01/01,University of Nottingham ,TRUE
43,Systems and Architecture,09/10/2023,01:00 PM,09/10/2023,02:00 PM,FALSE,Online Lecture Engagement COMP/1006/01/OLE/01/01,University of Nottingham ,TRUE
44,Mathematics for Computer Scientists 1,10/10/2023,09:00 AM,10/10/2023,10:00 AM,FALSE,Lecture COMP/1001/01/L/01/01,University of Nottingham JC BS South B52,TRUE
45,Programming and Algorithms,10/10/2023,10:00 AM,10/10/2023,11:00 AM,FALSE,Lecture COMP/1005/01/L/01/01,University of Nottingham JC BS South B52,TRUE
46,,10/10/2023,02:00 PM,10/10/2023,04:00 PM,FALSE,"Computing COMP/1005/01/C/01/01,COMP/1006/01/C/01/01,COMP/1007/01/C/01/01_JT",University of Nottingham JC Comp Sci A32,TRUE
47,Computer Fundamentals,11/10/2023,11:00 AM,11/10/2023,12:00 PM,FALSE,Online Lecture Engagement COMP/1007/01/OLE/01/01,University of Nottingham ,TRUE
48,Programming and Algorithms,12/10/2023,11:00 AM,12/10/2023,12:00 PM,FALSE,Tutorial COMP/1005/01/T/01/07,University of Nottingham JC Comp Sci C60,TRUE
49,Mathematics for Computer Scientists 1,12/10/2023,12:00 PM,12/10/2023,01:00 PM,FALSE,Tutorial COMP/1001/01/T/01/04,University of Nottingham JC Xu Yafen B18,TRUE
50,,12/10/2023,01:00 PM,12/10/2023,03:00 PM,FALSE,"Computing COMP/1005/01/C/02/01, COMP/1006/01/C/02/01, COMP/1007/01/C/02/01_JT",University of Nottingham JC Comp Sci A32,TRUE
51,,12/10/2023,03:00 PM,12/10/2023,05:00 PM,FALSE,"Computing COMP/1005/01/C/03/01, COMP/1006/01/C/03/01, COMP/1007/01/C/03/01_JT",University of Nottingham JC Comp Sci A32,TRUE
52,Computer Science First Year Tutorial,13/10/2023,10:00 AM,13/10/2023,11:00 AM,FALSE,Tutorial COMP/1002/01/T/01/01,University of Nottingham ,TRUE
53,Mathematics for Computer Scientists 1,13/10/2023,11:00 AM,13/10/2023,12:00 PM,FALSE,Lecture COMP/1001/01/L/02/01,University of Nottingham JC BS South B52,TRUE
54,Systems and Architecture,13/10/2023,02:00 PM,13/10/2023,03:00 PM,FALSE,Online Lecture Engagement COMP/1006/01/OLE/02/01,University of Nottingham ,TRUE
55,Computer Fundamentals,13/10/2023,03:00 PM,13/10/2023,04:00 PM,FALSE,Online Lecture Engagement COMP/1007/01/OLE/02/01,University of Nottingham ,TRUE
